Order,Latitude,Longitude,Elevation,Date Created,Distance from Start,Distance from Last,Bearing,Speed
1,51.9689888,7.5960648,54.00,05/25/2016 10:21:52 AM,0.000,0.000,0.00,0.00
2,51.9689472,7.5960568,55.00,05/25/2016 10:22:10 AM,0.005,0.005,7.00,0.93
3,51.9687392,7.5964688,57.00,05/25/2016 10:22:35 AM,0.041,0.036,309.00,5.25
4,51.9686848,7.5967248,56.00,05/25/2016 10:22:42 AM,0.060,0.019,289.00,9.53
5,51.9686656,7.5968288,56.00,05/25/2016 10:22:44 AM,0.067,0.007,287.00,13.38
6,51.9685408,7.5978952,57.00,05/25/2016 10:23:00 AM,0.141,0.074,281.00,16.72
7,51.9685888,7.5991936,59.00,05/25/2016 10:23:20 AM,0.230,0.089,267.00,16.03
8,51.9685760,7.6007200,59.00,05/25/2016 10:23:38 AM,0.335,0.105,271.00,20.90
9,51.9686848,7.6020920,59.00,05/25/2016 10:23:58 AM,0.430,0.095,263.00,17.05
10,51.9688256,7.6022448,59.00,05/25/2016 10:24:27 AM,0.448,0.019,214.00,2.34
11,51.9687616,7.6036600,60.00,05/25/2016 10:24:47 AM,0.546,0.097,274.00,17.49
12,51.9684832,7.6051400,57.00,05/25/2016 10:25:02 AM,0.652,0.106,287.00,25.43
13,51.9683712,7.6066016,57.00,05/25/2016 10:25:17 AM,0.752,0.101,277.00,24.20
14,51.9682272,7.6080752,56.00,05/25/2016 10:25:33 AM,0.855,0.102,279.00,22.98
15,51.9679840,7.6095136,58.00,05/25/2016 10:25:50 AM,0.957,0.102,285.00,21.62
16,51.9675744,7.6104520,59.00,05/25/2016 10:26:10 AM,1.035,0.079,305.00,14.17
17,51.9673280,7.6118816,59.00,05/25/2016 10:26:28 AM,1.137,0.102,286.00,20.33
18,51.9671616,7.6133152,59.00,05/25/2016 10:26:44 AM,1.237,0.100,281.00,22.47
19,51.9672256,7.6147936,60.00,05/25/2016 10:26:59 AM,1.338,0.101,266.00,24.35
20,51.9667232,7.6160152,60.00,05/25/2016 10:27:16 AM,1.439,0.101,304.00,21.29
21,51.9665440,7.6165048,59.00,05/25/2016 10:27:53 AM,1.478,0.039,301.00,3.79
22,51.9662880,7.6169120,59.00,05/25/2016 10:28:31 AM,1.518,0.040,316.00,3.77
23,51.9666240,7.6182600,59.00,05/25/2016 10:28:49 AM,1.617,0.100,248.00,19.91
24,51.9667584,7.6197616,59.00,05/25/2016 10:29:03 AM,1.721,0.104,262.00,26.71
25,51.9666944,7.6212336,60.00,05/25/2016 10:29:17 AM,1.822,0.101,274.00,25.98
26,51.9663328,7.6226200,61.00,05/25/2016 10:29:30 AM,1.925,0.103,293.00,28.54
27,51.9658592,7.6239096,60.00,05/25/2016 10:29:43 AM,2.028,0.103,301.00,28.46
28,51.9653632,7.6251448,57.00,05/25/2016 10:29:57 AM,2.129,0.101,303.00,25.96
29,51.9652544,7.6266016,57.00,05/25/2016 10:30:12 AM,2.229,0.100,277.00,24.11
30,51.9650528,7.6281064,58.00,05/25/2016 10:30:28 AM,2.335,0.105,282.00,23.72
31,51.9643744,7.6291048,59.00,05/25/2016 10:30:43 AM,2.437,0.102,318.00,24.42
32,51.9641344,7.6298768,61.00,05/25/2016 10:31:13 AM,2.496,0.059,297.00,7.10
33,51.9637024,7.6310432,60.00,05/25/2016 10:31:33 AM,2.589,0.093,301.00,16.77
34,51.9628864,7.6318104,61.00,05/25/2016 10:31:52 AM,2.694,0.105,330.00,19.86
35,51.9623104,7.6329384,61.00,05/25/2016 10:32:08 AM,2.794,0.100,310.00,22.57
36,51.9619296,7.6343272,61.00,05/25/2016 10:32:25 AM,2.898,0.104,294.00,22.04
37,51.9609792,7.6343336,57.00,05/25/2016 10:32:44 AM,3.004,0.106,360.00,20.01
38,51.9601824,7.6338152,61.00,05/25/2016 10:33:04 AM,3.099,0.095,22.00,17.17
39,51.9597664,7.6340936,60.00,05/25/2016 10:33:26 AM,3.149,0.050,338.00,8.18
40,51.9594656,7.6355032,59.00,05/25/2016 10:33:46 AM,3.251,0.102,289.00,18.39
41,51.9590784,7.6368696,59.00,05/25/2016 10:34:01 AM,3.354,0.103,295.00,24.72
42,51.9583232,7.6374952,60.00,05/25/2016 10:34:21 AM,3.449,0.094,333.00,16.96
43,51.9574592,7.6377048,62.00,05/25/2016 10:34:41 AM,3.546,0.097,351.00,17.47
44,51.9574048,7.6383000,62.00,05/25/2016 10:35:01 AM,3.587,0.041,278.00,7.42
45,51.9568352,7.6395112,63.00,05/25/2016 10:35:17 AM,3.691,0.104,307.00,23.47
46,51.9562336,7.6405880,60.00,05/25/2016 10:35:32 AM,3.791,0.100,312.00,23.89
47,51.9558336,7.6419152,57.00,05/25/2016 10:35:48 AM,3.892,0.101,296.00,22.76
48,51.9551712,7.6429504,55.00,05/25/2016 10:36:07 AM,3.994,0.102,316.00,19.36
49,51.9542816,7.6431432,59.00,05/25/2016 10:36:26 AM,4.094,0.100,352.00,18.90
50,51.9535424,7.6431664,64.00,05/25/2016 10:36:46 AM,4.176,0.082,359.00,14.79
51,51.9533376,7.6423368,62.00,05/25/2016 10:37:06 AM,4.237,0.061,68.00,11.02
52,51.9531296,7.6416104,63.00,05/25/2016 10:37:26 AM,4.292,0.055,65.00,9.87
